date,region,product,stock_level,warehouse_capacity
2023-07-18,APAC,B,637,13330
2023-07-18,APAC,C,2740,13044
2023-07-19,LATAM,A,10805,11920
2023-07-19,LATAM,B,10100,13554
2023-07-19,LATAM,C,10207,8512
2023-07-19,NA,A,1361,8219
2023-07-19,NA,B,-396,11847
2023-07-19,NA,C,7945,12848
2023-07-19,EU,A,5849,10504
2023-07-19,EU,B,14286,12515
2023-07-19,EU,C,12544,13683
2023-07-19,APAC,A,10957,13356
2023-07-19,APAC,B,12778,13705
2023-07-19,APAC,C,6558,11766
2023-07-20,LATAM,A,1779,13035
2023-07-20,LATAM,B,7855,8902
2023-07-20,LATAM,C,825,12588
2023-07-20,NA,A,5734,8298
2023-07-20,NA,B,3800,10729
2023-07-20,NA,C,1337,11734
2023-07-20,EU,A,6123,14092
2023-07-20,EU,B,10746,11081
2023-07-20,EU,C,73,10014
2023-07-20,APAC,A,11523,11874
2023-07-20,APAC,B,9586,8214
2023-07-20,APAC,C,795,11207
2023-07-21,LATAM,A,1594,13443
2023-07-21,LATAM,B,11700,14639
2023-07-21,LATAM,C,8209,13512
2023-07-21,NA,A,14007,13281
2023-07-21,NA,B,9694,9256
2023-07-21,NA,C,9886,11322
2023-07-21,EU,A,11517,10551
2023-07-21,EU,B,10836,11701
2023-07-21,EU,C,10632,10122
2023-07-21,APAC,A,8063,11014
2023-07-21,APAC,B,10685,9904
2023-07-21,APAC,C,10160,10640
2023-07-22,LATAM,A,1524,13744
2023-07-22,LATAM,B,15797,14250
2023-07-22,LATAM,C,350,10561
2023-07-22,NA,A,11964,12056
2023-07-22,NA,B,9952,10308
2023-07-22,NA,C,11297,13575
2023-07-22,EU,A,6701,13053
2023-07-22,EU,B,6379,14307
2023-07-22,EU,C,3435,11082
2023-07-22,APAC,A,4246,10488
2023-07-22,APAC,B,1429,10119
2023-07-22,APAC,C,9888,8182
2023-07-23,LATAM,A,12381,11082
2023-07-23,LATAM,B,7192,11533
2023-07-23,LATAM,C,2529,8169
2023-07-23,NA,A,8784,8035
2023-07-23,NA,B,670,13570
2023-07-23,NA,C,5876,9487
2023-07-23,EU,A,364,13711
2023-07-23,EU,B,4062,8196
2023-07-23,EU,C,6120,11232
2023-07-23,APAC,A,1422,8749
2023-07-23,APAC,B,9750,13855
2023-07-23,APAC,C,8358,8825
2023-07-24,LATAM,A,14998,13566
2023-07-24,LATAM,B,7022,8064
2023-07-24,LATAM,C,3949,11301
2023-07-24,NA,A,-450,14428
2023-07-24,NA,B,-117,13870
2023-07-24,NA,C,8521,10429
2023-07-24,EU,A,4972,11631
2023-07-24,EU,B,6548,11872
2023-07-24,EU,C,753,14767
2023-07-24,APAC,A,10146,11619
2023-07-24,APAC,B,4017,8907
2023-07-24,APAC,C,1375,11460
2023-07-25,LATAM,A,4575,9312
2023-07-25,LATAM,B,8107,10220
2023-07-25,LATAM,C,6267,11343
2023-07-25,NA,A,2680,8342
2023-07-25,NA,B,337,8926
2023-07-25,NA,C,4394,8168
2023-07-25,EU,A,350,10976
2023-07-25,EU,B,1626,8849
2023-07-25,EU,C,-282,8881
2023-07-25,APAC,A,12469,12712
2023-07-25,APAC,B,8471,8273
2023-07-25,APAC,C,6256,11529
2023-07-26,LATAM,A,-264,9191
2023-07-26,LATAM,B,10264,14966
2023-07-26,LATAM,C,7587,12926
2023-07-26,NA,A,7947,11494
2023-07-26,NA,B,11294,10912
2023-07-26,NA,C,-8,13462
2023-07-26,EU,A,6706,11206
2023-07-26,EU,B,6749,14019
2023-07-26,EU,C,9601,13807
2023-07-26,APAC,A,9924,11377
2023-07-26,APAC,B,2559,8894
2023-07-26,APAC,C,3835,9256
2023-07-27,LATAM,A,5593,12118
2023-07-27,LATAM,B,2326,12160
2023-07-27,LATAM,C,6499,13439
2023-07-27,NA,A,8829,12048
2023-07-27,NA,B,7922,8670
2023-07-27,NA,C,9395,11963
2023-07-27,EU,A,2015,12651
2023-07-27,EU,B,11513,9858
2023-07-27,EU,C,10850,12161
2023-07-27,APAC,A,9315,8840
2023-07-27,APAC,B,5978,13002
2023-07-27,APAC,C,13826,13541
2023-07-28,LATAM,A,3157,14435
2023-07-28,LATAM,B,5783,11484
2023-07-28,LATAM,C,7923,12244
2023-07-28,NA,A,8048,9597
2023-07-28,NA,B,12916,13598
2023-07-28,NA,C,2081,12481
2023-07-28,EU,A,1114,12837
2023-07-28,EU,B,9825,14418
2023-07-28,EU,C,10102,11221
2023-07-28,APAC,A,3169,8558
2023-07-28,APAC,B,13826,12828
2023-07-28,APAC,C,15651,14565
2023-07-29,LATAM,A,10146,13455
2023-07-29,LATAM,B,12749,13754
2023-07-29,LATAM,C,594,9798
2023-07-29,NA,A,5902,8227
2023-07-29,NA,B,7656,13410
2023-07-29,NA,C,15186,13672
2023-07-29,EU,A,3508,9880
2023-07-29,EU,B,5408,9874
2023-07-29,EU,C,10205,11010
2023-07-29,APAC,A,2104,13308
2023-07-29,APAC,B,8945,8833
2023-07-29,APAC,C,13603,14105
2023-07-30,LATAM,A,2367,8972
2023-07-30,LATAM,B,11416,10164
2023-07-30,LATAM,C,10028,13194
2023-07-30,NA,A,9019,13856
2023-07-30,NA,B,8208,13976
2023-07-30,NA,C,11028,11265
2023-07-30,EU,A,-248,8831
2023-07-30,EU,B,10523,13748
2023-07-30,EU,C,15406,13471
2023-07-30,APAC,A,5173,13377
2023-07-30,APAC,B,2152,8416
2023-07-30,APAC,C,8945,13702
2023-07-31,LATAM,A,2048,14036
2023-07-31,LATAM,B,6454,11226
2023-07-31,LATAM,C,315,8275
2023-07-31,NA,A,6493,10414
2023-07-31,NA,B,11904,14996
2023-07-31,NA,C,9695,13370
2023-07-31,EU,A,3512,14130
2023-07-31,EU,B,7918,14499
2023-07-31,EU,C,10545,9835
2023-07-31,APAC,A,6121,8991
2023-07-31,APAC,B,10727,14183
2023-07-31,APAC,C,4357,8229
2023-08-01,LATAM,A,14528,12776
2023-08-01,LATAM,B,13030,13155
2023-08-01,LATAM,C,3539,8119
2023-08-01,NA,A,9315,8706
2023-08-01,NA,B,10008,10899
2023-08-01,NA,C,6542,11338
2023-08-01,EU,A,12486,13143
2023-08-01,EU,B,6538,12988
2023-08-01,EU,C,11447,13974
2023-08-01,APAC,A,9619,8489
2023-08-01,APAC,B,9270,8059
2023-08-01,APAC,C,10246,8470
2023-08-02,LATAM,A,2027,12783
2023-08-02,LATAM,B,7836,11429
2023-08-02,LATAM,C,2900,12025
2023-08-02,NA,A,3664,10694
2023-08-02,NA,B,11237,11063
2023-08-02,NA,C,5789,9633
2023-08-02,EU,A,-365,12967
2023-08-02,EU,B,3838,14690
2023-08-02,EU,C,6254,12060
2023-08-02,APAC,A,10936,8970
2023-08-02,APAC,B,11992,14064
2023-08-02,APAC,C,6457,13768
2023-08-03,LATAM,A,3127,8292
2023-08-03,LATAM,B,5805,9209
2023-08-03,LATAM,C,6777,11527
2023-08-03,NA,A,5772,10107
2023-08-03,NA,B,9961,10158
2023-08-03,NA,C,-44,8481
2023-08-03,EU,A,9725,8421
2023-08-03,EU,B,-64,14123
2023-08-03,EU,C,5834,11227
2023-08-03,APAC,A,3094,13441
2023-08-03,APAC,B,8982,14445
2023-08-03,APAC,C,2408,13802
2023-08-04,LATAM,A,6843,10478
2023-08-04,LATAM,B,8663,8165
2023-08-04,LATAM,C,6432,14366
2023-08-04,NA,A,8962,13642
2023-08-04,NA,B,11583,13984
2023-08-04,NA,C,11137,9813
2023-08-04,EU,A,12066,11825
2023-08-04,EU,B,4398,11003
2023-08-04,EU,C,11289,14849
2023-08-04,APAC,A,7955,10787
2023-08-04,APAC,B,12210,10467
2023-08-04,APAC,C,3765,14566
2023-08-05,LATAM,A,13013,12534
2023-08-05,LATAM,B,4448,8067
2023-08-05,LATAM,C,13298,12032
2023-08-05,NA,A,7034,12285
2023-08-05,NA,B,11969,11863
2023-08-05,NA,C,6110,9515
2023-08-05,EU,A,4112,11418
2023-08-05,EU,B,-6,14429
2023-08-05,EU,C,6686,9774
2023-08-05,APAC,A,3999,8734
2023-08-05,APAC,B,267,8174
2023-08-05,APAC,C,13,13202
2023-08-06,LATAM,A,4362,8686
2023-08-06,LATAM,B,1973,10749
2023-08-06,LATAM,C,11074,9139
2023-08-06,NA,A,12846,13068
2023-08-06,NA,B,5059,9038
2023-08-06,NA,C,7710,10106
2023-08-06,EU,A,8371,8768
2023-08-06,EU,B,10752,13506
2023-08-06,EU,C,7990,14435
2023-08-06,APAC,A,4604,11878
2023-08-06,APAC,B,2200,9109
2023-08-06,APAC,C,5489,13035
2023-08-07,LATAM,A,7441,9982
2023-08-07,LATAM,B,6820,11404
2023-08-07,LATAM,C,2237,13154
2023-08-07,NA,A,11550,10174
2023-08-07,NA,B,2648,14534
2023-08-07,NA,C,1900,14294
2023-08-07,EU,A,4905,8246
2023-08-07,EU,B,7416,13009
2023-08-07,EU,C,4783,11644
2023-08-07,APAC,A,1520,12183
2023-08-07,APAC,B,7001,9722
2023-08-07,APAC,C,6624,12536
2023-08-08,LATAM,A,2973,9108
2023-08-08,LATAM,B,7181,12693
2023-08-08,LATAM,C,923,8518
2023-08-08,NA,A,1080,9968
2023-08-08,NA,B,176,13318
2023-08-08,NA,C,75,13638
2023-08-08,EU,A,6408,9250
2023-08-08,EU,B,-3,12474
2023-08-08,EU,C,11991,13841
2023-08-08,APAC,A,7364,10379
2023-08-08,APAC,B,7938,13558
2023-08-08,APAC,C,474,10297
2023-08-09,LATAM,A,9655,12071
2023-08-09,LATAM,B,59,10068
2023-08-09,LATAM,C,6475,8686
2023-08-09,NA,A,1046,13244
2023-08-09,NA,B,8894,8636
2023-08-09,NA,C,1358,12856
2023-08-09,EU,A,3424,11672
2023-08-09,EU,B,13923,12523
2023-08-09,EU,C,-229,13631
2023-08-09,APAC,A,2047,12344
2023-08-09,APAC,B,10346,8401
2023-08-09,APAC,C,772,14282
2023-08-10,LATAM,A,-101,9403
2023-08-10,LATAM,B,11940,12066
2023-08-10,LATAM,C,3081,12215
2023-08-10,NA,A,15868,14580
2023-08-10,NA,B,7770,9048
2023-08-10,NA,C,11624,14124
2023-08-10,EU,A,5668,9854
2023-08-10,EU,B,1300,11094
2023-08-10,EU,C,6028,10074
2023-08-10,APAC,A,10287,10689
2023-08-10,APAC,B,10573,11424
2023-08-10,APAC,C,8193,12472
2023-08-11,LATAM,A,1677,9657
2023-08-11,LATAM,B,3260,9547
2023-08-11,LATAM,C,-486,12226
2023-08-11,NA,A,8546,12416
2023-08-11,NA,B,2214,9223
2023-08-11,NA,C,3086,12184
2023-08-11,EU,A,2661,13928
2023-08-11,EU,B,3721,11290
2023-08-11,EU,C,2953,8704
2023-08-11,APAC,A,2846,13234
2023-08-11,APAC,B,2561,8514
2023-08-11,APAC,C,1429,9379
2023-08-12,LATAM,A,6659,8100
2023-08-12,LATAM,B,8119,11678
2023-08-12,LATAM,C,-384,13487
2023-08-12,NA,A,826,13345
2023-08-12,NA,B,1763,10945
2023-08-12,NA,C,1123,9245
2023-08-12,EU,A,11368,14453
2023-08-12,EU,B,4278,8701
2023-08-12,EU,C,1869,13919
2023-08-12,APAC,A,3043,10239
2023-08-12,APAC,B,11339,12430
2023-08-12,APAC,C,11436,10084
2023-08-13,LATAM,A,10161,10188
2023-08-13,LATAM,B,5193,13994
2023-08-13,LATAM,C,5969,13861
2023-08-13,NA,A,5986,10224
2023-08-13,NA,B,8618,9116
2023-08-13,NA,C,7003,14963
2023-08-13,EU,A,12301,10565
2023-08-13,EU,B,2770,12798
2023-08-13,EU,C,2944,8192
2023-08-13,APAC,A,3842,9328
2023-08-13,APAC,B,10693,14451
2023-08-13,APAC,C,7511,11497
2023-08-14,LATAM,A,99,8140
2023-08-14,LATAM,B,12882,11467
2023-08-14,LATAM,C,3274,10063
2023-08-14,NA,A,8710,13783
2023-08-14,NA,B,4482,10608
2023-08-14,NA,C,8234,11350
2023-08-14,EU,A,11246,13827
2023-08-14,EU,B,5727,9752
2023-08-14,EU,C,3003,12973
2023-08-14,APAC,A,1732,13778
2023-08-14,APAC,B,3519,8332
2023-08-14,APAC,C,12852,14311
2023-08-15,LATAM,A,240,10342
2023-08-15,LATAM,B,13307,14810
2023-08-15,LATAM,C,4042,13022
2023-08-15,NA,A,2179,10037
2023-08-15,NA,B,6107,8243
2023-08-15,NA,C,9487,8481
2023-08-15,EU,A,9972,8331
2023-08-15,EU,B,8841,9848
2023-08-15,EU,C,2907,13296
2023-08-15,APAC,A,3675,10756
2023-08-15,APAC,B,14505,13662
2023-08-15,APAC,C,13967,14036
2023-08-16,LATAM,A,4585,14062
2023-08-16,LATAM,B,3490,12755
2023-08-16,LATAM,C,7386,14589
2023-08-16,NA,A,12082,12601
2023-08-16,NA,B,1151,9867
2023-08-16,NA,C,11244,10256
2023-08-16,EU,A,2455,10820
2023-08-16,EU,B,4321,10794
2023-08-16,EU,C,3378,8233
2023-08-16,APAC,A,13308,11513
2023-08-16,APAC,B,7747,12418
2023-08-16,APAC,C,1962,9357
2023-08-17,LATAM,A,10314,9538
2023-08-17,LATAM,B,8040,10008
2023-08-17,LATAM,C,5596,9315
2023-08-17,NA,A,10337,10639
2023-08-17,NA,B,7248,11262
2023-08-17,NA,C,6096,8112
2023-08-17,EU,A,3340,9423
2023-08-17,EU,B,9050,9154
2023-08-17,EU,C,12158,12297
2023-08-17,APAC,A,4523,11348
2023-08-17,APAC,B,15065,13066
2023-08-17,APAC,C,6826,14358
2023-08-18,LATAM,A,3360,13788
2023-08-18,LATAM,B,12311,10594
2023-08-18,LATAM,C,785,12690
2023-08-18,NA,A,272,11645
2023-08-18,NA,B,3755,13849
2023-08-18,NA,C,7506,13105
2023-08-18,EU,A,5420,8980
2023-08-18,EU,B,8580,14654
2023-08-18,EU,C,8420,13929
2023-08-18,APAC,A,6434,9186
2023-08-18,APAC,B,3383,11077
2023-08-18,APAC,C,11901,10685
2023-08-19,LATAM,A,11706,13196
2023-08-19,LATAM,B,2441,8251
2023-08-19,LATAM,C,5629,14265
2023-08-19,NA,A,2115,10482
2023-08-19,NA,B,-98,9526
2023-08-19,NA,C,10918,14259
2023-08-19,EU,A,884,12142
2023-08-19,EU,B,6448,11398
2023-08-19,EU,C,4218,12331
2023-08-19,APAC,A,-83,8079
2023-08-19,APAC,B,-490,11264
2023-08-19,APAC,C,-114,10409
2023-08-20,LATAM,A,4424,8009
2023-08-20,LATAM,B,3214,10074
2023-08-20,LATAM,C,5683,12286
2023-08-20,NA,A,11284,10382
2023-08-20,NA,B,1910,8143
2023-08-20,NA,C,1362,11612
2023-08-20,EU,A,294,9288
2023-08-20,EU,B,7644,11281
2023-08-20,EU,C,5998,8110
2023-08-20,APAC,A,8894,13406
2023-08-20,APAC,B,12832,11260
2023-08-20,APAC,C,3989,10927
2023-08-21,LATAM,A,10676,10645
2023-08-21,LATAM,B,7177,14665
2023-08-21,LATAM,C,5421,12810
2023-08-21,NA,A,708,10444
2023-08-21,NA,B,11692,13530
2023-08-21,NA,C,11433,13613
2023-08-21,EU,A,3987,8439
2023-08-21,EU,B,6019,9920
2023-08-21,EU,C,6589,14769
2023-08-21,APAC,A,1244,12468
2023-08-21,APAC,B,15759,14063
2023-08-21,APAC,C,11575,11809
2023-08-22,LATAM,A,1983,8047
2023-08-22,LATAM,B,92,8244
2023-08-22,LATAM,C,3512,11633
2023-08-22,NA,A,13145,13539
2023-08-22,NA,B,6274,13764
2023-08-22,NA,C,6838,11239
2023-08-22,EU,A,9780,11739
2023-08-22,EU,B,10178,10711
2023-08-22,EU,C,16158,14883
2023-08-22,APAC,A,7899,8449
2023-08-22,APAC,B,9008,14473
2023-08-22,APAC,C,7598,8597
2023-08-23,LATAM,A,8500,11352
2023-08-23,LATAM,B,7971,9365
2023-08-23,LATAM,C,12963,14326
2023-08-23,NA,A,3274,11026
2023-08-23,NA,B,4115,13014
2023-08-23,NA,C,10282,13856
2023-08-23,EU,A,2670,8939
2023-08-23,EU,B,514,14054
2023-08-23,EU,C,-178,10865
2023-08-23,APAC,A,979,11608
2023-08-23,APAC,B,2951,10399
2023-08-23,APAC,C,6837,11473
2023-08-24,LATAM,A,10384,14245
2023-08-24,LATAM,B,2834,14380
2023-08-24,LATAM,C,16687,14806
2023-08-24,NA,A,9708,11637
2023-08-24,NA,B,13510,12121
2023-08-24,NA,C,11303,9505
2023-08-24,EU,A,-136,9387
2023-08-24,EU,B,2367,10680
2023-08-24,EU,C,1722,10317
2023-08-24,APAC,A,6302,10733
2023-08-24,APAC,B,2377,13120
2023-08-24,APAC,C,931,8568
2023-08-25,LATAM,A,10274,11090
2023-08-25,LATAM,B,7372,14281
2023-08-25,LATAM,C,11900,14644
2023-08-25,NA,A,13888,12062
2023-08-25,NA,B,14253,12408
2023-08-25,NA,C,153,9459
2023-08-25,EU,A,8940,8687
2023-08-25,EU,B,8705,10416
2023-08-25,EU,C,12960,11342
2023-08-25,APAC,A,-13,12520
2023-08-25,APAC,B,10560,10402
2023-08-25,APAC,C,8334,9388
2023-08-26,LATAM,A,13849,12956
2023-08-26,LATAM,B,3415,8901
2023-08-26,LATAM,C,4643,12159
2023-08-26,NA,A,5044,12735
2023-08-26,NA,B,460,11359
2023-08-26,NA,C,7260,8716
2023-08-26,EU,A,8882,14559
2023-08-26,EU,B,4867,9355
2023-08-26,EU,C,10655,11568
2023-08-26,APAC,A,9097,14034
2023-08-26,APAC,B,8166,10193
2023-08-26,APAC,C,9265,9437
2023-08-27,LATAM,A,544,12687
2023-08-27,LATAM,B,6200,14173
2023-08-27,LATAM,C,8141,10630
2023-08-27,NA,A,9842,14636
2023-08-27,NA,B,-141,8123
2023-08-27,NA,C,12492,11269
2023-08-27,EU,A,7439,12428
2023-08-27,EU,B,10330,13629
2023-08-27,EU,C,11183,9359
2023-08-27,APAC,A,10468,13274
2023-08-27,APAC,B,7878,10368
2023-08-27,APAC,C,8235,12049
2023-08-28,LATAM,A,5038,14502
2023-08-28,LATAM,B,6329,14806
2023-08-28,LATAM,C,3565,13880
2023-08-28,NA,A,13270,13004
2023-08-28,NA,B,3575,13324
2023-08-28,NA,C,13755,14590
2023-08-28,EU,A,4564,10217
2023-08-28,EU,B,11958,11093
2023-08-28,EU,C,4879,10380
2023-08-28,APAC,A,11920,14334
2023-08-28,APAC,B,2934,9543
2023-08-28,APAC,C,9477,8467
2023-08-29,LATAM,A,8112,13458
2023-08-29,LATAM,B,8563,14222
2023-08-29,LATAM,C,651,8953
2023-08-29,NA,A,8396,8207
2023-08-29,NA,B,13476,14223
2023-08-29,NA,C,1365,13503
2023-08-29,EU,A,11092,12496
2023-08-29,EU,B,1229,13086
2023-08-29,EU,C,3864,8002
2023-08-29,APAC,A,768,10051
2023-08-29,APAC,B,14261,12751
2023-08-29,APAC,C,14212,13016
2023-08-30,LATAM,A,10613,8745
2023-08-30,LATAM,B,8428,13833
2023-08-30,LATAM,C,6833,12605
2023-08-30,NA,A,6290,9724
2023-08-30,NA,B,8336,10861
2023-08-30,NA,C,14187,13195
2023-08-30,EU,A,6777,9956
2023-08-30,EU,B,1352,13631
2023-08-30,EU,C,2790,8612
2023-08-30,APAC,A,6486,10989
2023-08-30,APAC,B,5097,10999
2023-08-30,APAC,C,8963,10205
2023-08-31,LATAM,A,3337,10366
2023-08-31,LATAM,B,6734,12273
2023-08-31,LATAM,C,5536,9820
2023-08-31,NA,A,7561,10136
2023-08-31,NA,B,14901,14633
2023-08-31,NA,C,6202,13261
2023-08-31,EU,A,4262,8043
2023-08-31,EU,B,5156,14350
2023-08-31,EU,C,9376,8682
2023-08-31,APAC,A,8082,8860
2023-08-31,APAC,B,10561,11770
2023-08-31,APAC,C,6338,12606
2023-09-01,LATAM,A,9595,14585
2023-09-01,LATAM,B,2585,9793
2023-09-01,LATAM,C,10520,8590
2023-09-01,NA,A,7498,10791
2023-09-01,NA,B,12246,11329
2023-09-01,NA,C,-129,11146
2023-09-01,EU,A,6073,8343
2023-09-01,EU,B,4059,8346
2023-09-01,EU,C,1516,10326
2023-09-01,APAC,A,9182,12443
2023-09-01,APAC,B,1380,11151
2023-09-01,APAC,C,5323,13133
2023-09-02,LATAM,A,15384,13739
2023-09-02,LATAM,B,985,10424
2023-09-02,LATAM,C,14637,14453
2023-09-02,NA,A,1058,8606
2023-09-02,NA,B,1051,11660
2023-09-02,NA,C,4765,10111
2023-09-02,EU,A,5055,13548
2023-09-02,EU,B,7128,10299
2023-09-02,EU,C,11297,10502
2023-09-02,APAC,A,6873,12123
2023-09-02,APAC,B,9737,12410
2023-09-02,APAC,C,4911,12253
2023-09-03,LATAM,A,7380,8623
2023-09-03,LATAM,B,2460,13984
2023-09-03,LATAM,C,7688,8598
2023-09-03,NA,A,3210,13757
2023-09-03,NA,B,1861,11814
2023-09-03,NA,C,13490,14722
2023-09-03,EU,A,1623,12630
2023-09-03,EU,B,5222,14522
2023-09-03,EU,C,1097,12088
2023-09-03,APAC,A,5005,10474
2023-09-03,APAC,B,1066,12399
2023-09-03,APAC,C,6934,12370
2023-09-04,LATAM,A,482,10656
2023-09-04,LATAM,B,4769,10289
2023-09-04,LATAM,C,5450,14975
2023-09-04,NA,A,3969,11050
2023-09-04,NA,B,6722,14377
2023-09-04,NA,C,11532,12218
2023-09-04,EU,A,1724,10159
2023-09-04,EU,B,5368,9147
2023-09-04,EU,C,5976,10457
2023-09-04,APAC,A,2120,11180
2023-09-04,APAC,B,8303,10748
2023-09-04,APAC,C,1270,14424
2023-09-05,LATAM,A,10229,11810
2023-09-05,LATAM,B,15895,14207
2023-09-05,LATAM,C,10131,8335
2023-09-05,NA,A,3741,10586
2023-09-05,NA,B,484,9271
2023-09-05,NA,C,-270,9353
2023-09-05,EU,A,9004,14893
2023-09-05,EU,B,5186,14450
2023-09-05,EU,C,8622,8859
2023-09-05,APAC,A,6994,13838
2023-09-05,APAC,B,11990,13174
2023-09-05,APAC,C,4160,9960
2023-09-06,LATAM,A,1139,8476
2023-09-06,LATAM,B,929,13172
2023-09-06,LATAM,C,11356,14319
2023-09-06,NA,A,2901,9615
2023-09-06,NA,B,8146,8124
2023-09-06,NA,C,8529,9670
2023-09-06,EU,A,8008,10295
2023-09-06,EU,B,11082,12793
2023-09-06,EU,C,3539,9795
2023-09-06,APAC,A,3509,9745
2023-09-06,APAC,B,4619,11492
2023-09-06,APAC,C,8303,8870
2023-09-07,LATAM,A,5998,13666
2023-09-07,LATAM,B,6123,13282
2023-09-07,LATAM,C,4217,9722
2023-09-07,NA,A,11979,12651
2023-09-07,NA,B,14342,13368
2023-09-07,NA,C,3500,11098
2023-09-07,EU,A,9509,9022
2023-09-07,EU,B,8429,8953
2023-09-07,EU,C,2290,12349
2023-09-07,APAC,A,11002,14152
2023-09-07,APAC,B,664,8019
2023-09-07,APAC,C,4891,11812
2023-09-08,LATAM,A,3935,13727
2023-09-08,LATAM,B,2423,10635
2023-09-08,LATAM,C,14523,14973
2023-09-08,NA,A,64,8584
2023-09-08,NA,B,14034,13395
2023-09-08,NA,C,790,9057
2023-09-08,EU,A,13707,12083
2023-09-08,EU,B,14058,12534
2023-09-08,EU,C,1607,9124
2023-09-08,APAC,A,7404,10505
2023-09-08,APAC,B,11366,12413
2023-09-08,APAC,C,7787,12322
2023-09-09,LATAM,A,2796,10483
2023-09-09,LATAM,B,15903,14531
2023-09-09,LATAM,C,3517,10888
2023-09-09,NA,A,3714,12671
2023-09-09,NA,B,12826,14506
2023-09-09,NA,C,9727,14068
2023-09-09,EU,A,7964,10220
2023-09-09,EU,B,4981,13767
2023-09-09,EU,C,3887,9547
2023-09-09,APAC,A,9104,11360
2023-09-09,APAC,B,449,11565
2023-09-09,APAC,C,3945,14031
2023-09-10,LATAM,A,404,8154
2023-09-10,LATAM,B,12647,11338
2023-09-10,LATAM,C,8957,10518
2023-09-10,NA,A,9470,14283
2023-09-10,NA,B,4358,9423
2023-09-10,NA,C,13153,14564
2023-09-10,EU,A,9867,10589
2023-09-10,EU,B,8856,11817
2023-09-10,EU,C,2566,11529
2023-09-10,APAC,A,9368,9900
2023-09-10,APAC,B,-230,11382
2023-09-10,APAC,C,5134,14718
2023-09-11,LATAM,A,1216,14531
2023-09-11,LATAM,B,5625,10281
2023-09-11,LATAM,C,2730,12932
2023-09-11,NA,A,10173,14025
2023-09-11,NA,B,5365,12512
2023-09-11,NA,C,397,9320
2023-09-11,EU,A,141,10088
2023-09-11,EU,B,1192,12444
2023-09-11,EU,C,7369,13756
2023-09-11,APAC,A,10752,12753
2023-09-11,APAC,B,6732,10376
2023-09-11,APAC,C,12066,14335
2023-09-12,LATAM,A,4414,11828
2023-09-12,LATAM,B,8156,14163
2023-09-12,LATAM,C,5290,11066
2023-09-12,NA,A,4768,12957
2023-09-12,NA,B,6059,8232
2023-09-12,NA,C,2028,14601
2023-09-12,EU,A,11462,11328
2023-09-12,EU,B,9762,10849
2023-09-12,EU,C,2499,8586
2023-09-12,APAC,A,7811,13778
2023-09-12,APAC,B,5070,13854
2023-09-12,APAC,C,8276,8590
2023-09-13,LATAM,A,2832,13485
2023-09-13,LATAM,B,5572,10779
2023-09-13,LATAM,C,8353,10536
2023-09-13,NA,A,10249,12096
2023-09-13,NA,B,9564,9118
2023-09-13,NA,C,10436,10248
2023-09-13,EU,A,2329,9964
2023-09-13,EU,B,12092,10988
2023-09-13,EU,C,1689,13956
2023-09-13,APAC,A,11112,12186
2023-09-13,APAC,B,12711,14038
2023-09-13,APAC,C,1494,11497
2023-09-14,LATAM,A,8111,8903
2023-09-14,LATAM,B,4980,13446
2023-09-14,LATAM,C,8835,12777
2023-09-14,NA,A,1309,11729
2023-09-14,NA,B,7665,12757
2023-09-14,NA,C,930,12656
2023-09-14,EU,A,1856,13716
2023-09-14,EU,B,3223,8746
2023-09-14,EU,C,4090,8976
2023-09-14,APAC,A,4180,9201
2023-09-14,APAC,B,8345,14555
2023-09-14,APAC,C,3753,11375
2023-09-15,LATAM,A,3659,14351
2023-09-15,LATAM,B,6743,11820
2023-09-15,LATAM,C,13129,14072
2023-09-15,NA,A,1207,8088
2023-09-15,NA,B,3921,10812
2023-09-15,NA,C,5930,14399
2023-09-15,EU,A,930,12441
2023-09-15,EU,B,2931,10549
2023-09-15,EU,C,12883,14269
2023-09-15,APAC,A,8703,13476
2023-09-15,APAC,B,2463,10721
2023-09-15,APAC,C,6183,9286
2023-09-16,LATAM,A,8033,8975
2023-09-16,LATAM,B,5179,10427
2023-09-16,LATAM,C,9010,13958
2023-09-16,NA,A,5645,12792
2023-09-16,NA,B,14385,12962
2023-09-16,NA,C,8887,13932
2023-09-16,EU,A,3485,11499
2023-09-16,EU,B,1230,12235
2023-09-16,EU,C,744,14169
2023-09-16,APAC,A,12821,12998
2023-09-16,APAC,B,-357,9510
2023-09-16,APAC,C,7169,13908
2023-09-17,LATAM,A,15975,14164
2023-09-17,LATAM,B,3590,11532
2023-09-17,LATAM,C,7828,11931
2023-09-17,NA,A,4390,14886
2023-09-17,NA,B,-8,9394
2023-09-17,NA,C,498,9399
2023-09-17,EU,A,4665,9551
2023-09-17,EU,B,1388,12444
2023-09-17,EU,C,5848,12741
2023-09-17,APAC,A,10892,13002
2023-09-17,APAC,B,2076,12549
2023-09-17,APAC,C,5905,11060
2023-09-18,LATAM,A,9869,12821
2023-09-18,LATAM,B,4771,14056
2023-09-18,LATAM,C,6921,9407
2023-09-18,NA,A,7950,10385
2023-09-18,NA,B,2392,9535
2023-09-18,NA,C,8481,9304
2023-09-18,EU,A,6374,14929
2023-09-18,EU,B,4362,9659
2023-09-18,EU,C,9938,13208
2023-09-18,APAC,A,7497,8010
2023-09-18,APAC,B,2574,10511
2023-09-18,APAC,C,10050,11900
2023-09-19,LATAM,A,10804,9211
2023-09-19,LATAM,B,4762,12449
